consumer_id,raw_score,carbon_spend,total_spend,carbon_index,carbon_label
USER_10016,56507.067,52737.170000000006,325634.87,17.35,High Emission
USER_10028,25074.888,45307.07,176282.22,14.22,High Emission
USER_10039,29757.028,51376.759999999995,294205.59,10.11,High Emission
USER_10024,24633.343,43085.100000000006,328190.28,7.51,High Emission
USER_10035,21660.247,40702.22,297082.9199999999,7.29,High Emission
USER_10004,32251.82,43189.83,444997.0,7.25,High Emission
USER_10032,39511.448000000004,37658.91,580630.46,6.8,High Emission
USER_10002,20890.225,29167.050000000003,335398.72000000003,6.23,High Emission
USER_10036,16640.282,30156.02,276589.38999999996,6.02,High Emission
USER_10041,36164.218,47002.49,633820.5999999999,5.71,High Emission
USER_10037,23075.023999999998,39349.71,419619.17,5.5,High Emission
USER_10007,24914.965,40491.130000000005,506148.97,4.92,High Emission
USER_10045,15644.337,43337.11,322332.17,4.85,High Emission
USER_10017,30181.181,41528.29,629332.2100000001,4.8,High Emission
USER_10046,22028.939,28277.930000000004,462882.86,4.76,High Emission
USER_10009,24149.255,44607.96,565197.82,4.27,High Emission
USER_10027,16133.677,30854.690000000002,378937.71,4.26,High Emission
USER_10043,17911.041,28215.660000000003,423263.68999999994,4.23,High Emission
USER_10001,18587.628,45522.49,458481.77,4.05,High Emission
USER_10010,13347.724,31733.329999999998,356371.8300000001,3.75,High Emission
USER_10015,13950.21,42303.07,389478.77999999997,3.58,High Emission
USER_10033,16656.06,43803.950000000004,480807.00999999995,3.46,High Emission
USER_10047,14283.425,26550.12,416772.37000000005,3.43,High Emission
USER_10042,14383.164,34100.97,422733.17000000004,3.4,High Emission
USER_10025,8022.091000000001,25376.32,255495.87,3.14,High Emission
USER_10031,16650.152,46479.81,578606.66,2.88,High Emission
USER_10005,11812.810999999998,48168.52,415562.63999999996,2.84,High Emission
USER_10019,9335.908,32281.62,339905.62,2.75,High Emission
USER_10023,15848.963,42173.87999999999,578836.25,2.74,High Emission
USER_10030,14089.44,21100.129999999997,551285.47,2.56,High Emission
USER_10003,8622.724,42500.64,341495.83999999997,2.52,High Emission
USER_10048,18675.954,53719.310000000005,745202.7799999999,2.51,High Emission
USER_10013,10742.967,28614.15,461706.57,2.33,High Emission
USER_10026,9754.233,40136.5,421176.58,2.32,High Emission
USER_10011,9018.559,30906.41,403547.62,2.23,High Emission
USER_10044,7896.088999999999,32946.47,368972.18,2.14,High Emission
USER_10014,11330.126,28468.33,529843.4199999999,2.14,High Emission
USER_10040,10751.31,37309.7,520322.39,2.07,High Emission
USER_10012,5905.922,35398.81,323845.31,1.82,High Emission
USER_10020,8231.902,18896.590000000004,466833.26999999996,1.76,High Emission
USER_10022,12236.155,46870.380000000005,696702.88,1.76,High Emission
USER_10006,5540.736,30334.130000000005,316158.72,1.75,High Emission
USER_10049,7957.8240000000005,47376.590000000004,495245.2799999999,1.61,High Emission
USER_10021,9172.893,24699.23,573208.59,1.6,High Emission
USER_10034,6374.5509999999995,34425.07,402083.14999999997,1.59,High Emission
USER_10038,6554.580999999999,24546.319999999996,438638.49,1.49,Moderate
USER_10029,8030.224,17873.68,669211.7000000002,1.2,Moderate
USER_10008,1648.344,43531.17,285393.61000000004,0.58,Moderate
USER_10000,1698.8840000000002,21704.179999999997,809520.7,0.21,Neutral
USER_10018,-827.1789999999992,53105.020000000004,417151.3,-0.2,Neutral
