consumer_id,recency,frequency,monetary,merchant_diversity,R,F,M,D,rfm_score,segment
USER_10000,5,38,44181.72,15,3,2,1,1,1.75,At Risk
USER_10001,19,34,66288.94,22,1,1,2,4,2.0,At Risk
USER_10002,16,32,59340.4,18,1,1,1,1,1.0,Hibernating
USER_10003,0,35,55361.59,17,4,1,1,1,1.75,At Risk
USER_10004,24,39,82767.86,18,1,3,4,1,2.25,At Risk
USER_10005,0,39,69118.65,19,4,3,3,2,3.0,Loyal
USER_10006,17,35,68260.16,17,1,1,2,1,1.25,Hibernating
USER_10007,0,47,72208.1,21,4,4,3,3,3.5,Champion
USER_10008,6,35,74987.75,19,3,1,4,2,2.5,Loyal
USER_10009,7,52,93319.8,21,3,4,4,3,3.5,Champion
USER_10010,4,36,74688.67,21,3,2,4,3,3.0,Loyal
USER_10011,2,42,74168.81,19,4,4,3,2,3.25,Loyal
USER_10012,10,33,61019.7,18,2,1,1,1,1.25,Hibernating
USER_10013,17,32,51036.68,19,1,1,1,2,1.25,Hibernating
USER_10014,10,53,68353.56999999999,24,2,4,2,4,3.0,Loyal
USER_10015,4,41,81400.7,23,3,3,4,4,3.5,Champion
USER_10016,6,35,71957.4,20,3,1,3,2,2.25,At Risk
USER_10017,14,43,86536.08,21,2,4,4,3,3.25,Loyal
USER_10018,3,41,86577.73,23,3,3,4,4,3.5,Champion
USER_10019,7,37,64230.75,21,3,2,2,3,2.5,Loyal
USER_10020,1,33,45263.1,19,4,1,1,2,2.0,At Risk
USER_10021,19,44,87153.39,22,1,4,4,4,3.25,Loyal
USER_10022,2,41,73871.1,21,4,3,3,3,3.25,Loyal
USER_10023,1,47,79986.65,21,4,4,4,3,3.75,Champion
USER_10024,12,28,59145.59,17,2,1,1,1,1.25,Hibernating
USER_10025,10,33,50831.25,19,2,1,1,2,1.5,At Risk
USER_10026,4,40,77479.45,20,3,3,4,2,3.0,Loyal
USER_10027,12,37,71373.44,18,2,2,3,1,2.0,At Risk
USER_10028,8,31,68648.46,19,2,1,2,2,1.75,At Risk
USER_10029,11,38,66474.4,19,2,2,2,2,2.0,At Risk
USER_10030,6,40,64099.82,18,3,3,2,1,2.25,At Risk
USER_10031,9,42,71480.38,19,2,4,3,2,2.75,Loyal
USER_10032,2,39,65920.49,21,4,3,2,3,3.0,Loyal
USER_10033,17,39,56009.19,16,1,3,1,1,1.5,At Risk
USER_10034,1,32,59286.42,17,4,1,1,1,1.75,At Risk
USER_10035,1,38,71998.8,18,4,2,3,1,2.5,Loyal
USER_10036,14,42,63840.9,24,2,4,2,4,3.0,Loyal
USER_10037,45,36,41733.81,19,1,2,1,2,1.5,At Risk
USER_10038,14,41,63932.19,23,2,3,2,4,2.75,Loyal
USER_10039,0,37,71797.26,20,4,2,3,2,2.75,Loyal
USER_10040,1,39,65017.28,20,4,3,2,2,2.75,Loyal
USER_10041,1,48,76770.33,22,4,4,4,4,4.0,Champion
USER_10042,14,42,75162.91,21,2,4,4,3,3.25,Loyal
USER_10043,26,36,61774.83,19,1,2,2,2,1.75,At Risk
USER_10044,25,40,68658.31,21,1,3,3,3,2.5,Loyal
USER_10045,7,37,72794.64,21,3,2,3,3,2.75,Loyal
USER_10046,0,34,58731.53,21,4,1,1,3,2.25,At Risk
USER_10047,14,33,40557.24,14,2,1,1,1,1.25,Hibernating
USER_10048,4,53,83190.99,25,3,4,4,4,3.75,Champion
USER_10049,5,42,72427.66,21,3,4,3,3,3.25,Loyal
