transaction_id,consumer_id,transaction_date,amount,transaction_mode,transaction_type,full_narration
TXN101987,USER_10043,2024-02-21,-2052.14,NEFT,DR,
TXN100592,USER_10012,2024-06-24,-2868.55,NEFT,DR,NEFT/JIO/REF6183
TXN100238,USER_10002,2024-12-04,-3843.22,ATM,DR,ATM/BIGBASKET/REF7172
TXN101553,USER_10041,2024-05-21,-1951.04,NEFT,DR,NEFT/FLIPKART/REF2971
TXN101838,USER_10007,2024-09-18,-1060.01,IMPS,DR,IMPS/DMART/REF7815
TXN101833,USER_10049,2024-05-21,-2499.9,CARD,DR,CARD/BLR_METRO/REF3858
TXN100387,USER_10005,2024-07-26,-2785.87,CARD,DR,CARD/ZOMATO/REF1154
TXN101548,USER_10017,2024-06-28,-1272.49,NEFT,DR,
TXN100382,USER_10042,2024-09-06,-2684.45,UPI,DR,UPI/AIRTEL/REF1274
TXN101492,USER_10042,2024-03-01,-3015.56,UPI,DR,UPI/UBER/REF8327
TXN100306,USER_10033,2024-08-21,-4471.0,IMPS,DR,IMPS/BIGBASKET/REF6218
TXN101336,USER_10040,2024-04-24,-2359.36,NEFT,DR,NEFT/OLA/REF8876
TXN101416,USER_10038,2024-07-14,-958.55,UPI,DR,UPI/APOLLO_PHARMACY/REF2058
TXN101507,USER_10014,2024-05-20,-1916.92,RTGS,DR,RTGS/BLR_METRO/REF2720
TXN100771,USER_10028,2024-07-30,-4278.35,CARD,DR,CARD/BIGBASKET/REF4844
TXN101304,USER_10007,2024-08-24,-1005.3,NEFT,DR,NEFT/SWIGGY/REF1324
TXN101170,USER_10016,2024-03-29,-4142.5,NEFT,DR,NEFT/BPCL/REF2382
TXN100426,USER_10021,2024-10-13,-2337.17,CARD,DR,CARD/TATA_POWER/REF4022
TXN100688,USER_10036,2024-10-17,-1615.85,NEFT,DR,NEFT/AIRTEL/REF1079
TXN100839,USER_10009,2024-03-08,-2405.48,UPI,DR,UPI/MYNTRA/REF9980
TXN100954,USER_10014,2024-04-05,-86.78,CARD,DR,CARD/DOMINOS/REF4878
TXN101544,USER_10014,2024-03-02,-239.91,NEFT,DR,NEFT/OLA/REF7984
TXN100537,USER_10046,2024-01-01,-2219.19,NEFT,DR,NEFT/AIRTEL/REF7783
TXN101738,USER_10017,2024-12-17,-3217.01,RTGS,DR,RTGS/BIGBASKET/REF4608
TXN100760,USER_10024,2024-04-10,-4797.78,RTGS,DR,RTGS/BIGBASKET/REF1159
TXN100183,USER_10009,2024-03-07,-4002.64,CARD,DR,CARD/FLIPKART/REF1422
TXN100749,USER_10012,2024-05-07,29921.92,UPI,CR,UPI/SALARY_CR/REF2285
TXN100702,USER_10045,2024-09-23,-1403.8,IMPS,DR,IMPS/MYNTRA/REF9918
TXN100447,USER_10034,2024-05-23,-883.47,IMPS,DR,IMPS/PORTRONICS/REF5740
TXN101349,USER_10032,2024-07-17,50155.01,IMPS,CR,
TXN101612,USER_10014,2024-07-19,-3742.68,ATM,DR,ATM/BBPS/REF2264
TXN101116,USER_10031,2099-12-31,-3851.6,UPI,DR,UPI/FLIPKART/REF5107
TXN101048,USER_10039,2024-07-07,71175.57,NEFT,CR,
TXN100340,USER_10045,2024-06-08,-3211.62,IMPS,DR,IMPS/BPCL/REF4618
TXN101043,USER_10035,2024-12-29,14688.41,NEFT,CR,NEFT/REFUND/REF9841
TXN101206,USER_10029,2024-12-12,-3446.87,RTGS,DR,RTGS/BIGBASKET/REF9638
TXN101470,USER_10014,2024-09-12,-779.76,NEFT,DR,NEFT/BPCL/REF1562
TXN101437,USER_10048,2024-02-15,-2884.43,NEFT,DR,NEFT/SPOTIFY/REF5407
TXN100089,USER_10025,2024-10-30,-184.16,RTGS,DR,RTGS/APOLLO_PHARMACY/REF3223
TXN101518,USER_10035,2024-09-09,5748.63,CARD,CR,CARD/REFUND/REF9334
TXN100653,USER_10047,2024-11-27,-1226.1,IMPS,DR,IMPS/PORTRONICS/REF1769
TXN100051,USER_10031,2099-12-31,64227.26,CARD,CR,CARD/SALARY_CR/REF7939
TXN100810,USER_10001,2024-11-13,59321.16,IMPS,CR,IMPS/SALARY_CR/REF2037
TXN101493,USER_10020,2024-03-03,-2896.65,NEFT,DR,NEFT/APOLLO_PHARMACY/REF2438
TXN100672,USER_10047,2024-12-17,-2323.16,UPI,DR,UPI/NETFLIX/REF2433
TXN101607,USER_10030,2024-07-29,-2247.67,CARD,DR,CARD/APOLLO_PHARMACY/REF1216
TXN100200,USER_10048,2024-05-22,-4045.75,ATM,DR,ATM/BBPS/REF1430
TXN101440,USER_10041,2024-05-27,-894.64,NEFT,DR,NEFT/SPOTIFY/REF3200
TXN100309,USER_10023,2024-06-18,-4900.5,IMPS,DR,IMPS/DMART/REF1436
TXN100501,USER_10042,2024-03-07,-1341.91,RTGS,DR,RTGS/NETFLIX/REF6345
TXN101205,USER_10039,2024-04-05,-2158.78,ATM,DR,ATM/ZOMATO/REF6599
TXN101727,USER_10013,2024-03-28,29334.32,CARD,CR,CARD/REFUND/REF5718
TXN101077,USER_10024,2024-05-28,-259.05,ATM,DR,ATM/BPCL/REF5979
TXN100142,USER_10012,2024-11-02,-4402.66,IMPS,DR,IMPS/AMAZON/REF7798
TXN100019,USER_10007,2024-05-30,-2295.93,CARD,DR,CARD/MYNTRA/REF5315
TXN100563,USER_10017,2024-07-09,-4096.06,IMPS,DR,IMPS/BPCL/REF5593
TXN101496,USER_10019,2024-01-24,41361.02,CARD,CR,CARD/REFUND/REF9750
TXN101303,USER_10022,2099-12-31,30057.6,CARD,CR,CARD/SALARY_CR/REF1138
TXN101271,USER_10007,2024-10-07,-4358.61,RTGS,DR,RTGS/AIRTEL/REF6074
TXN101600,USER_10008,2024-02-26,-1779.27,NEFT,DR,NEFT/AJIO/REF5828
TXN101880,USER_10000,2024-08-10,2810.8,CARD,DR,CARD/OLA/REF3918
TXN101978,USER_10044,2024-04-18,51790.58,CARD,CR,CARD/REFUND/REF4977
TXN101445,USER_10030,2024-09-05,-549.01,IMPS,DR,IMPS/ZOMATO/REF1118
TXN100165,USER_10040,2024-02-19,50243.84,RTGS,CR,RTGS/REFUND/REF1546
TXN100064,USER_10038,2024-08-10,-3942.82,ATM,DR,ATM/AIRTEL/REF9379
TXN100707,USER_10011,2024-03-21,-3600.65,CARD,DR,CARD/FLIPKART/REF4773
TXN101865,USER_10047,2024-04-17,-1427.37,IMPS,DR,IMPS/RELIANCE_TRENDS/REF2629
TXN100037,USER_10030,2024-04-19,68171.0,RTGS,CR,RTGS/SALARY_CR/REF1035
TXN101512,USER_10000,2099-12-31,-819.68,NEFT,DR,NEFT/BIGBASKET/REF7206
TXN100876,USER_10039,2024-10-19,-2649.89,UPI,DR,UPI/PORTRONICS/REF9530
